GENE,SGDID,CHROM,START,END
GMH1,YKR030W,chrXI,500282,501103
GNA1,YFL017C,chrVI,103983,104462
GND1,YHR183W,chrVIII,470960,472429
GND2,YGR256W,chrVII,1004624,1006102
GNP1,YDR508C,chrIV,1466453,1468444
GNT1,YOR320C,chrXV,913619,915094
GON7,YJL184W,chrX,83448,83819
GOR1,YNL274C,chrXIV,121118,122170
GOS1,YHL031C,chrVIII,38815,39486
GOT1,YMR292W,chrXIII,854795,855293
GPA1,YHR005C,chrVIII,113499,114917
GPA2,YER020W,chrV,195168,196517
GPB1,YOR371C,chrXV,1031489,1034182
GPB2,YAL056W,chrI,39259,41901
GPC1,YGR149W,chrVII,789031,790329
GPD1,YDL022W,chrIV,411825,413000
GPD2,YOL059W,chrXV,217126,218448
GPG1,YGL121C,chrVII,280777,281157
GPH1,YPR160W,chrXVI,861306,864014
GPI1,YGR216C,chrVII,922633,924462
GPI10,YGL142C,chrVII,236269,238119
GPI11,YDR302W,chrIV,1067731,1068390
GPI12,YMR281W,chrXIII,832339,833253
GPI13,YLL031C,chrXII,77152,80205
GPI14,YJR013W,chrX,460382,461593
GPI15,YNL038W,chrXIV,557020,557783
GPI16,YHR188C,chrVIII,482005,483837
GPI17,YDR434W,chrIV,1331237,1332841
GPI18,YBR004C,chrII,244366,245667
GPI19,YDR437W,chrIV,1337352,1337774
GPI2,YPL076W,chrXVI,410443,411285
GPI8,YDR331W,chrIV,1129588,1130823
GPM1,YKL152C,chrXI,163642,164385
GPM2,YDL021W,chrIV,413953,414888
GPM3,YOL056W,chrXV,223268,224179
GPN2,YOR262W,chrXV,817292,818335
GPN3,YLR243W,chrXII,624203,625021
GPP1,YIL053W,chrIX,255115,255867
GPP2,YER062C,chrV,279930,280682
GPR1,YDL035C,chrIV,389172,392057
GPT2,YKR067W,chrXI,567918,570149
GPX1,YKL026C,chrXI,389380,389883
GPX2,YBR244W,chrII,707528,708016
GRC3,YLL035W,chrXII,68580,70478
GRE1,YPL223C,chrXVI,128632,129138
GRE2,YOL151W,chrXV,43694,44722
GRE3,YHR104W,chrVIII,323409,324392
GRH1,YDR517W,chrIV,1477239,1478357
GRR1,YJR090C,chrX,590872,594327
GRS1,YBR121C,chrII,481364,483367
GRS2,YPR081C,chrXVI,702114,703970
GRX1,YCL035C,chrIII,60841,61173
GRX2,YDR513W,chrIV,1471017,1471448
GRX3,YDR098C,chrIV,644178,644930
GRX4,YER174C,chrV,538434,539168
GRX5,YPL059W,chrXVI,444579,445031
GRX6,YDL010W,chrIV,432330,433025
GRX7,YBR014C,chrII,266725,267336
GRX8,YLR364W,chrXII,854062,854391
GSC2,YGR032W,chrVII,548264,553951
GSF2,YML048W,chrXIII,178426,179637
GSH1,YJL101C,chrX,234320,236356
GSH2,YOL049W,chrXV,238619,240094
GSM1,YJL103C,chrX,229025,230881
GSP1,YLR293C,chrXII,720771,721430
GSP2,YOR185C,chrXV,681444,682106
GSY1,YFR015C,chrVI,174265,176391
GSY2,YLR258W,chrXII,660716,662833
GTA1,YEL043W,chrV,70478,73348
GTB1,YDR221W,chrIV,907330,909438
GTF1,YGR102C,chrVII,694584,695135
GTO1,YGR154C,chrVII,796798,797868
GTO3,YMR251W,chrXIII,772915,774015
GTR1,YML121W,chrXIII,26930,27862
GTR2,YGR163W,chrVII,827552,828577
GTS1,YGL181W,chrVII,157906,159096
GTT1,YIR038C,chrIX,423809,424513
GTT2,YLL060C,chrXII,21138,21839
GTT3,YEL017W,chrV,123657,124670
GUA1,YMR217W,chrXIII,701790,703367
GUD1,YDL238C,chrIV,28985,30454
GUF1,YLR289W,chrXII,715089,717026
GUK1,YDR454C,chrIV,1366264,1366827
GUP1,YGL084C,chrVII,350616,352298
GUP2,YPL189W,chrXVI,189154,190983
GUS1,YGL245W,chrVII,39023,41149
GUT1,YHL032C,chrVIII,36379,38508
GUT2,YIL155C,chrIX,51759,53708
GVP36,YIL041W,chrIX,276525,277505
GWT1,YJL091C,chrX,261080,262552
GYL1,YMR192W,chrXIII,647118,649280
GYP1,YOR070C,chrXV,455907,457820
GYP5,YPL249C,chrXVI,76669,79353
GYP6,YJL044C,chrX,358300,359676
GYP7,YDL234C,chrIV,34237,36477
GYP8,YFL027C,chrVI,80419,81912
GZF3,YJL110C,chrX,209922,211577
HAA1,YPR008W,chrXVI,573018,575102
HAC1,YFL031W,chrVI,75179,76147
HAL1,YPR005C,chrXVI,565787,566671
HAL5,YJL165C,chrX,106894,109461
HAL9,YOL089C,chrXV,150398,153490
HAM1,YJR069C,chrX,568806,569399
HAP1,YLR256W,chrXII,646415,650923
HAP2,YGL237C,chrVII,52731,53528
HAP3,YBL021C,chrII,181660,182094
HAP4,YKL109W,chrXI,232227,233891
HAP5,YOR358W,chrXV,1010161,1010889
HAS1,YMR290C,chrXIII,850074,851591
HAT1,YPL001W,chrXVI,554605,555729
HAT2,YEL056W,chrV,47168,48373
HBN1,YCL026C-B,chrIII,73405,73986
HBS1,YKR084C,chrXI,597055,598890
HBT1,YDL223C,chrIV,57265,60405
HCA4,YJL033W,chrX,383837,386149
HCH1,YNL281W,chrXIV,108467,108928
HCM1,YCR065W,chrIII,229310,231004
HCR1,YLR192C,chrXII,538792,539589
HCS1,YKL017C,chrXI,405190,407241
HDA1,YNL021W,chrXIV,593227,595347
HDA2,YDR295C,chrIV,1052623,1054647
HDA3,YPR179C,chrXVI,893797,895764
HED1,YDR014W-A,chrIV,477797,478285
HEF3,YNL014W,chrXIV,606319,609453
HEH2,YDR458C,chrIV,1380055,1382046
HEK2,YBL032W,chrII,160184,161329
HEL1,YKR017C,chrXI,471694,473349
HEL2,YDR266C,chrIV,1000104,1002023
HEM1,YDR232W,chrIV,927452,929098
HEM12,YDR047W,chrIV,551860,552948
HEM13,YDR044W,chrIV,546642,547628
HEM14,YER014W,chrV,182600,184219
HEM15,YOR176W,chrXV,662401,663582
HEM2,YGL040C,chrVII,419527,420555
HEM25,YDL119C,chrIV,246689,247612
HEM3,YDL205C,chrIV,92762,93745
HEM4,YOR278W,chrXV,842817,843644
HER1,YOR227W,chrXV,762825,766565
HER2,YMR293C,chrXIII,855399,856793
HES1,YOR237W,chrXV,781994,783298
HFA1,YMR207C,chrXIII,677193,683564
HFD1,YMR110C,chrXIII,490394,491992
HFI1,YPL254W,chrXVI,69485,70951
HFL1,YKR051W,chrXI,530946,532202
HFM1,YGL251C,chrVII,27921,31636
HGH1,YGR187C,chrVII,870232,871416
HHF1,YBR009C,chrII,255373,255684
HHF2,YNL030W,chrXIV,576727,577038
HHO1,YPL127C,chrXVI,308828,309604
HHT1,YBR010W,chrII,256331,256741
HHT2,YNL031C,chrXIV,575640,576050
HHY1,YEL059W,chrV,42652,42960
HIF1,YLL022C,chrXII,99044,100201
HIM1,YDR317W,chrIV,1102184,1103428
HIP1,YGR191W,chrVII,880420,882231
HIR1,YBL008W,chrII,209653,212175
HIR2,YOR038C,chrXV,402761,405388
HIR3,YJR140C,chrX,690750,695696
HIS1,YER055C,chrV,264892,265785
HIS2,YFR025C,chrVI,203743,204750
HIS3,YOR202W,chrXV,721946,722608
HIS4,YCL030C,chrIII,65934,68333
HIS5,YIL116W,chrIX,142928,144085
HIS6,YIL020C,chrIX,314035,314820
HIS7,YBR248C,chrII,714807,716465
HIT1,YJR055W,chrX,538772,539266
HKR1,YDR420W,chrIV,1306267,1311675
HLJ1,YMR161W,chrXIII,577718,578392
HLR1,YDR528W,chrIV,1494586,1495857
HMF1,YER057C,chrV,270737,271126
HMG1,YML075C,chrXIII,115734,118898
HMG2,YLR450W,chrXII,1032627,1035764
HMI1,YOL095C,chrXV,139227,141347
HMLALPHA1,YCL066W,chrIII,13282,13809
HMLALPHA2,YCL067C,chrIII,12386,13018
HMO1,YDR174W,chrIV,812110,812850
HMRA1,YCR097W,chrIII,293835,294321
HMRA2,YCR096C,chrIII,293179,293538
HMS1,YOR032C,chrXV,389771,391075
HMS2,YJR147W,chrX,704196,705272
HMT1,YBR034C,chrII,304930,305976
HMX1,YLR205C,chrXII,552724,553677
HNM1,YGL077C,chrVII,362225,363916
HNT1,YDL125C,chrIV,239019,239606
HNT2,YDR305C,chrIV,1072746,1073488
HNT3,YOR258W,chrXV,811671,812324
HO,YDL227C,chrIV,46271,48031
HOB2,YPR117W,chrXVI,760025,767494
HOC1,YJR075W,chrX,573981,575171
HOF1,YMR032W,chrXIII,335298,337307
HOG1,YLR113W,chrXII,371620,372927
HOL1,YNR055C,chrXIV,728426,730186
HOM2,YDR158W,chrIV,770357,771454
HOM3,YER052C,chrV,256375,257958
HOM6,YJR139C,chrX,689445,690524
HOP1,YIL072W,chrIX,226602,228419
HOP2,YGL033W,chrVII,435625,436401
HOR7,YMR251W-A,chrXIII,774752,774931
HOS1,YPR068C,chrXVI,682941,684353
HOS2,YGL194C,chrVII,140368,141726
HOS3,YPL116W,chrXVI,329606,331699
HOS4,YIL112W,chrIX,151595,154846
HOT1,YMR172W,chrXIII,605981,608140
HOT13,YKL084W,chrXI,280509,280859
HPA2,YPR193C,chrXVI,922909,923379
HPA3,YEL066W,chrV,26721,27206
HPC2,YBR215W,chrII,653356,655317
HPF1,YOL155C,chrXV,28703,31606
HPM1,YIL110W,chrIX,156045,157178
HPR1,YDR138W,chrIV,730578,732836
HPT1,YDR399W,chrIV,1270068,1270733
HRA1,YNCA0001W,chrI,99305,99868
HRB1,YNL004W,chrXIV,622915,624621
HRD1,YOL013C,chrXV,301380,303035
HRD3,YLR207W,chrXII,556788,559289
HRI1,YLR301W,chrXII,730825,731559
HRK1,YOR267C,chrXV,822588,824867
HRP1,YOL123W,chrXV,87844,89448
HRQ1,YDR291W,chrIV,1039728,1042961
HRR25,YPL204W,chrXVI,164276,165760
HRT1,YOL133W,chrXV,70325,70690
HRT3,YLR097C,chrXII,336231,337265
HSC82,YMR186W,chrXIII,632355,634472
HSE1,YHL002W,chrVIII,102612,103970
HSF1,YGL073W,chrVII,368753,371254
HSH155,YMR288W,chrXIII,845571,848486
HSH49,YOR319W,chrXV,912822,913463
HSK3,YKL138C-A,chrXI,184803,185012
HSL1,YKL101W,chrXI,248920,253476
HSL7,YBR133C,chrII,501804,504287
HSM3,YBR272C,chrII,746361,747803
HSP10,YOR020C,chrXV,370524,370844
HSP104,YLL026W,chrXII,88623,91349
HSP12,YFL014W,chrVI,107256,107585
HSP150,YJL159W,chrX,120449,121690
HSP26,YBR072W,chrII,382030,382674
HSP30,YCR021C,chrIII,156109,157107
HSP31,YDR533C,chrIV,1501447,1502160
HSP32,YPL280W,chrXVI,11887,12600
HSP33,YOR391C,chrXV,1078545,1079258
HSP42,YDR171W,chrIV,806621,807748
HSP60,YLR259C,chrXII,663284,665002
HSP78,YDR258C,chrIV,971808,974243
HSP82,YPL240C,chrXVI,96496,98625
HST1,YOL068C,chrXV,200368,201879
HST2,YPL015C,chrXVI,525810,526883
HST3,YOR025W,chrXV,378219,379562
HST4,YDR191W,chrIV,842337,843449
HSU1,YLL058W,chrXII,23569,25296
HSV2,YGR223C,chrVII,940869,942215
HSX1,YNCJ0025W,chrX,538555,538626
HTA1,YDR225W,chrIV,915530,915928
HTA2,YBL003C,chrII,235394,235792
HTB1,YDR224C,chrIV,914317,914712
HTB2,YBL002W,chrII,236492,236887
HTC1,YPL067C,chrXVI,425251,425847
HTD2,YHR067W,chrVIII,230970,231812
HTL1,YCR020W-B,chrIII,155320,155556
HTS1,YPR033C,chrXVI,637379,639019
HTZ1,YOL012C,chrXV,303579,303983
HUA1,YGR268C,chrVII,1026057,1026653
HUA2,YOR284W,chrXV,848478,849209
HUB1,YNR032C-A,chrXIV,687243,687464
HUG1,YML058W-A,chrXIII,158760,158966
HUL4,YJR036C,chrX,500713,503391
HUL5,YGL141W,chrVII,238353,241085
HUR1,YGL168W,chrVII,187464,187796
HUT1,YPL244C,chrXVI,87014,88033
HVG1,YER039C,chrV,228456,229205
HXK1,YFR053C,chrVI,253592,255049
HXK2,YGL253W,chrVII,23935,25395
HXT1,YHR094C,chrVIII,290913,292625
HXT10,YFL011W,chrVI,112345,113985
HXT11,YOL156W,chrXV,25273,26976
HXT12,YIL170W,chrIX,19847,21220
HXT13,YEL069C,chrV,21537,23231
HXT14,YNL318C,chrXIV,38707,40329
HXT15,YDL245C,chrIV,11657,13360
HXT16,YJR158W,chrX,732440,734143
HXT17,YNR072W,chrXIV,772657,774351
HXT2,YMR011W,chrXIII,288079,289704
HXT3,YDR345C,chrIV,1162957,1164660
HXT4,YHR092C,chrVIII,287081,288811
HXT5,YHR096C,chrVIII,294669,296447
HXT6,YDR343C,chrIV,1159608,1161320
HXT7,YDR342C,chrIV,1154216,1155928
HXT8,YJL214W,chrX,26887,28596
HXT9,YJL219W,chrX,19497,21200
HYM1,YKL189W,chrXI,84704,85903
HYP2,YEL034W,chrV,85676,86149
HYR1,YIR037W,chrIX,423128,423619
IAH1,YOR126C,chrXV,559961,560677
IAI11,YBL059W,chrII,110594,111244
IBA57,YJR122W,chrX,649776,651269
IBD2,YNL164C,chrXIV,325265,326320
ICE2,YIL090W,chrIX,193595,195070
ICL1,YER065C,chrV,285241,286914
ICL2,YPR006C,chrXVI,567269,568996
ICP55,YER078C,chrV,316807,318342
ICR1,YNCI0012,chrIX,393884,397082
ICS2,YBR157C,chrII,553543,554310
ICS3,YJL077C,chrX,294666,295061
ICT1,YLR099C,chrXII,339744,340928
ICY1,YMR195W,chrXIII,654034,654417
IDH1,YNL037C,chrXIV,557920,559002
IDH2,YOR136W,chrXV,580250,581359
IDI1,YPL117C,chrXVI,327864,328730
IDP1,YDL066W,chrIV,334835,336121
IDP2,YLR174W,chrXII,504591,505829
IDP3,YNL009W,chrXIV,614821,616083
IDS2,YJL146W,chrX,143292,144701
IES1,YFL013C,chrVI,107852,109930
IES2,YNL215W,chrXIV,244468,245430
IES3,YLR052W,chrXII,247201,247953
IES4,YOR189W,chrXV,689624,689974
IES5,YER092W,chrV,342855,343232
IES6,YEL044W,chrV,69757,70257
IFA38,YBR159W,chrII,558685,559728
IFH1,YLR223C,chrXII,582233,585490
IFM1,YOL023W,chrXV,278056,280086
IGD1,YFR017C,chrVI,182274,182861
IGO1,YNL157W,chrXIV,340352,340858
IGO2,YHR132W-A,chrVIII,370054,370449
IKI1,YHR187W,chrVIII,480990,481919
IKI3,YLR384C,chrXII,888851,892900
IKS1,YJL057C,chrX,328118,330121
ILM1,YJR118C,chrX,643490,644101
ILS1,YBL076C,chrII,81043,84261
ILT1,YDR090C,chrIV,625066,625998
ILV1,YER086W,chrV,328477,330207
ILV2,YMR108W,chrXIII,484084,486147
ILV3,YJR016C,chrX,464451,466208
ILV5,YLR355C,chrXII,838066,839253
ILV6,YCL009C,chrIII,104619,105548
IMA1,YGR287C,chrVII,1067222,1068991
IMA2,YOL157C,chrXV,22525,24294
IMA3,YIL172C,chrIX,16784,18553
IMA4,YJL221C,chrX,16767,18536
IMA5,YJL216C,chrX,24341,26086
IMD1,YAR073W,chrI,227742,228953
IMD2,YHR216W,chrVIII,554396,555967
IMD3,YLR432W,chrXII,1002557,1004128
IMD4,YML056C,chrXIII,162194,164176
IME1,YJR094C,chrX,604569,605651
IME2,YJL106W,chrX,221390,223327
IME4,YGL192W,chrVII,142246,144048
IMG1,YCR046C,chrIII,209914,210423
IMG2,YCR071C,chrIII,240103,240543
IMH1,YLR309C,chrXII,749034,751769
IML1,YJR138W,chrX,684567,689321
IML2,YJL082W,chrX,281185,283380
IML3,YBR107C,chrII,453793,454530
IMO32,YGR031W,chrVII,546441,547469
IMP1,YMR150C,chrXIII,561956,562528
IMP2,YMR035W,chrXIII,341142,341675
IMP21,YIL154C,chrIX,53981,55021
IMP3,YHR148W,chrVIII,393534,394085
IMP4,YNL075W,chrXIV,485607,486479
IMT1,YNCO0023W,chrXV,710201,710272
IMT2,YNCP0006C,chrXVI,338848,338919
IMT3,YNCJ0022C,chrX,517813,517884
IMT4,YNCE0006W,chrV,100133,100204
INA1,YLR413W,chrXII,951156,953183
INA17,YPL099C,chrXVI,363520,364068
INA22,YIR024C,chrIX,402841,403491
INH1,YDL181W,chrIV,135179,135436
INM1,YHR046C,chrVIII,197398,198285
INM2,YDR287W,chrIV,1035995,1036873
INN1,YNL152W,chrXIV,346313,347542
INO1,YJL153C,chrX,134332,135933
INO2,YDR123C,chrIV,698554,699468
INO4,YOL108C,chrXV,111431,111886
INO80,YGL150C,chrVII,221104,225573
INP1,YMR204C,chrXIII,670063,671325
INP2,YMR163C,chrXIII,584271,586388
INP51,YIL002C,chrIX,350591,353431
INP52,YNL106C,chrXIV,420944,424495
INP53,YOR109W,chrXV,525278,528601
INP54,YOL065C,chrXV,204731,205885
IOC2,YLR095C,chrXII,329677,332115
IOC3,YFR013W,chrVI,169922,172285
IOC4,YMR044W,chrXIII,355384,356811
IPA1,YJR141W,chrX,695906,696949
IPI1,YHR085W,chrVIII,276764,277768
IPI3,YNL182C,chrXIV,295960,297627
IPK1,YDR315C,chrIV,1092741,1093586
IPL1,YPL209C,chrXVI,156490,157593
IPP1,YBR011C,chrII,257112,257975
IPT1,YDR072C,chrIV,589761,591344
IQG1,YPL242C,chrXVI,90622,95109
IRA1,YBR140C,chrII,517350,526628
IRA2,YOL081W,chrXV,171070,180309
IRC10,YOL015W,chrXV,297078,298838
IRC11,YOR013W,chrXV,356751,357221
IRC13,YOR235W,chrXV,779870,780184
IRC14,YOR135C,chrXV,580159,580500
IRC15,YPL017C,chrXVI,518734,520233
IRC16,YPR038W,chrXVI,646836,647195
IRC18,YJL037W,chrX,376662,377336
IRC19,YLL033W,chrXII,73409,74101
IRC2,YDR112W,chrIV,679544,679852
IRC20,YLR247C,chrXII,628684,633354
IRC21,YMR073C,chrXIII,412268,412873
IRC22,YEL001C,chrV,150301,150978
IRC23,YOR044W,chrXV,413007,413480
IRC24,YIR036C,chrIX,422074,422865
IRC25,YLR021W,chrXII,183623,184162
IRC3,YDR332W,chrIV,1131001,1133070
IRC4,YDR540C,chrIV,1517136,1517675
IRC5,YFR038W,chrVI,229380,231941
IRC6,YFR043C,chrVI,239114,239827
IRC7,YFR055W,chrVI,264204,265226
IRC8,YJL051W,chrX,339787,342255
IRC9,YJL142C,chrX,147819,148211
IRE1,YHR079C,chrVIII,258244,261591
IRR1,YIL026C,chrIX,304477,307929
IRS4,YKR019C,chrXI,476216,478063
IRT1,YNCJ0028C,chrX,605936,607424
ISA1,YLL027W,chrXII,87403,88155
ISA2,YPR067W,chrXVI,682220,682777
ISC1,YER019W,chrV,192797,194230
ISC10,YER180C,chrV,549724,550527
ISD11,YER048W-A,chrV,250718,251002
ISF1,YMR081C,chrXIII,430079,431095
ISM1,YPL040C,chrXVI,475993,479001
ISN1,YOR155C,chrXV,626628,627980
ISR1,YPR106W,chrXVI,740061,741392
IST1,YNL265C,chrXIV,144280,145281
IST2,YBR086C,chrII,420201,423041
IST3,YIR005W,chrIX,364889,365335
ISU1,YPL135W,chrXVI,297553,298050
ISU2,YOR226C,chrXV,761614,762084
ISW1,YBR245C,chrII,708150,711539
ISW2,YOR304W,chrXV,884514,887876
ISY1,YJR050W,chrX,528697,529404
ITC1,YGL133W,chrVII,257707,261501
ITR1,YDR497C,chrIV,1443713,1445467
ITR2,YOL103W,chrXV,124001,125830
ITS1-1,YNCL0015C,chrXII,455572,455932
ITS1-2,YNCL0024C,chrXII,464709,465069
ITS2-1,YNCL0013C,chrXII,455182,455413
ITS2-2,YNCL0022C,chrXII,464319,464550
ITT1,YML068W,chrXIII,137550,138944
IVY1,YDR229W,chrIV,924785,926146
IWR1,YDL115C,chrIV,253995,255126
IXR1,YKL032C,chrXI,380065,381858
IZH1,YDR492W,chrIV,1434924,1435874
IZH2,YOL002C,chrXV,323411,324364
IZH3,YLR023C,chrXII,185498,187129
IZH4,YOL101C,chrXV,126982,127920
JAC1,YGL018C,chrVII,459110,459664
JEM1,YJL073W,chrX,303181,305118
JEN1,YKL217W,chrXI,22234,24084
JHD1,YER051W,chrV,254656,256134
JHD2,YJR119C,chrX,644304,646490
JID1,YPR061C,chrXVI,675977,676882
JIP3,YLR331C,chrXII,790669,791046
JIP4,YDR475C,chrIV,1407464,1410094
JIP5,YPR169W,chrXVI,878690,880168
JJJ1,YNL227C,chrXIV,220659,222431
JJJ2,YJL162C,chrX,113878,115629
JJJ3,YJR097W,chrX,612413,612931
JLP1,YLL057C,chrXII,25756,26994
JLP2,YMR132C,chrXIII,534944,535570
JNM1,YMR294W,chrXIII,856966,858087
JSN1,YJR091C,chrX,595061,598336
KAE1,YKR038C,chrXI,511999,513159
KAP104,YBR017C,chrII,270947,273703
KAP114,YGL241W,chrVII,45445,48459
KAP120,YPL125W,chrXVI,313388,316486
KAP122,YGL016W,chrVII,461666,464911
KAP123,YER110C,chrV,378762,382103
KAP95,YLR347C,chrXII,823828,826413
KAR1,YNL188W,chrXIV,286308,287609
KAR2,YJL034W,chrX,381327,383375
KAR3,YPR141C,chrXVI,815734,817923
KAR4,YCL055W,chrIII,27929,28936
KAR5,YMR065W,chrXIII,399702,401216
KAR9,YPL269W,chrXVI,33013,34947
KCC4,YCL024W,chrIII,79162,82275
KCH1,YJR054W,chrX,536056,537549
KCS1,YDR017C,chrIV,479115,482267
KDX1,YKL161C,chrXI,149386,150687
KEG1,YFR042W,chrVI,238458,239060
KEI1,YDR367W,chrIV,1212848,1213614
KEL1,YHR158C,chrVIII,413685,417179
KEL2,YGR238C,chrVII,966039,968687
KEL3,YPL263C,chrXVI,44551,46506
KES1,YPL145C,chrXVI,278395,279699
KEX1,YGL203C,chrVII,112475,114664
KEX2,YNL238W,chrXIV,202428,204872
KGD1,YIL125W,chrIX,122689,125733
KGD2,YDR148C,chrIV,753675,755066
KGD4,YFR049W,chrVI,248523,248894
KHA1,YJL094C,chrX,251821,254442
KIC1,YHR102W,chrVIII,316572,319814
KIN1,YDR122W,chrIV,694700,697894
KIN2,YLR096W,chrXII,332590,336033
KIN28,YDL108W,chrIV,267698,268699
KIN3,YAR018C,chrI,170396,171703
KIN4,YOR233W,chrXV,775846,778248
KIN82,YCR091W,chrIII,274404,276566
KIP1,YBL063W,chrII,101886,105221
KIP2,YPL155C,chrXVI,257216,259336
KIP3,YGL216W,chrVII,84885,87302
KKQ8,YKL168C,chrXI,131288,133462
KNH1,YDL049C,chrIV,365068,365874
KNS1,YLL019C,chrXII,105686,107899
KOG1,YHR186C,chrVIII,475999,480672
KRE1,YNL322C,chrXIV,33294,34235
KRE2,YDR483W,chrIV,1421157,1422485
KRE28,YDR532C,chrIV,1499396,1500553
KRE29,YER038C,chrV,226858,228252
KRE33,YNL132W,chrXIV,375321,378491
KRE5,YOR336W,chrXV,949773,953870
KRE6,YPR159W,chrXVI,857583,859745
KRE9,YJL174W,chrX,95092,95922
KRI1,YNL308C,chrXIV,54122,55897
KRR1,YCL059C,chrIII,22429,23379
KRS1,YDR037W,chrIV,525440,527215
KSH1,YNL024C-A,chrXIV,586602,586820
KSP1,YHR082C,chrVIII,268459,271548
KSS1,YGR040W,chrVII,575398,576504
KTD1,YAR028W,chrI,184892,185596
KTI11,YBL071W-A,chrII,89978,90226
KTI12,YKL110C,chrXI,228939,229880
KTR1,YOR099W,chrXV,511825,513006
KTR2,YKR061W,chrXI,557677,558954
KTR3,YBR205W,chrII,633622,634836
KTR4,YBR199W,chrII,618909,620303
KTR5,YNL029C,chrXIV,577205,578773
KTR6,YPL053C,chrXVI,457118,458458
KTR7,YIL085C,chrIX,200490,202043
KXD1,YGL079W,chrVII,359444,360100
LAA1,YJL207C,chrX,41389,47433
LAA2,YBL010C,chrII,206107,206949
LAC1,YKL008C,chrXI,427295,428551
LAF1,YMR102C,chrXIII,469848,472352
LAG1,YHL003C,chrVIII,100648,101883
LAG2,YOL025W,chrXV,274957,276939
LAM1,YHR155W,chrVIII,407103,410789
LAM4,YHR080C,chrVIII,262801,266838
LAM5,YFL042C,chrVI,45720,47744
LAM6,YLR072W,chrXII,278862,280943
LAP2,YNL045W,chrXIV,542963,544978
LAP3,YNL239W,chrXIV,200569,201933
LAS1,YKR063C,chrXI,560789,562297
LAS17,YOR181W,chrXV,675939,677840
LAS21,YJL062W,chrX,317284,319776
LAT1,YNL071W,chrXIV,491523,492971
LCB1,YMR296C,chrXIII,859215,860891
LCB2,YDR062W,chrIV,576474,578159
LCB3,YJL134W,chrX,158188,159417
LCB4,YOR171C,chrXV,652010,653884
LCB5,YLR260W,chrXII,665844,667907
LCD1,YDR499W,chrIV,1447830,1450073
LCL1,YPL056C,chrXVI,453430,453735
LCL2,YLR104W,chrXII,346585,346980
LCL3,YGL085W,chrVII,349616,350440
LCP5,YER127W,chrV,414481,415554
LDB16,YCL005W,chrIII,108021,108791
LDB17,YDL146W,chrIV,192750,194225
LDB18,YLL049W,chrXII,40666,41205
LDB19,YOR322C,chrXV,918606,921062
LDB7,YBL006C,chrII,216587,217129
LDH1,YBR204C,chrII,632254,633381
LDO16,YMR148W,chrXIII,560366,560812
LDO45,YMR147W,chrXIII,559199,560812
LDS1,YAL018C,chrI,118564,119541
LDS2,YOL047C,chrXV,241614,242747
LEA1,YPL213W,chrXVI,150614,151330
LEC1,YPR097W,chrXVI,725394,728615
LEE1,YPL054W,chrXVI,455759,456664
LEM3,YNL323W,chrXIV,31944,33188
LEO1,YOR123C,chrXV,553176,554570
LEU1,YGL009C,chrVII,476313,478652
LEU2,YCL018W,chrIII,91324,92418
LEU3,YLR451W,chrXII,1036093,1038753
LEU4,YNL104C,chrXIV,424895,426754
LEU5,YHR002W,chrVIII,108812,109885
LEU9,YOR108W,chrXV,523027,524841
LGE1,YPL055C,chrXVI,453992,454990
LHP1,YDL051W,chrIV,363952,364779
LHS1,YKL073W,chrXI,296430,299075
LIA1,YJR070C,chrX,569621,570598
LIF1,YGL090W,chrVII,343319,344584
LIH1,YJR107W,chrX,627340,628326
LIN1,YHR156C,chrVIII,411384,412406
LIP1,YMR298W,chrXIII,863819,864271
LIP2,YLR239C,chrXII,616332,617318
LIP5,YOR196C,chrXV,715593,716837
LMO1,YLL007C,chrXII,134302,136299
LNP1,YHR192W,chrVIII,486826,487662
LOA1,YPR139C,chrXVI,813156,814058
LOC1,YFR001W,chrVI,149110,149724
LOG1,YJL055W,chrX,333357,334094
LOH1,YJL038C,chrX,375115,375774
LOS1,YKL205W,chrXI,50051,53353
LOT5,YKL183W,chrXI,98721,99641
LOT6,YLR011W,chrXII,169103,169678
LPD1,YFL018C,chrVI,101628,103127
LPL1,YOR059C,chrXV,438906,440258
LPP1,YDR503C,chrIV,1455042,1455866
LPX1,YOR084W,chrXV,480587,481750
LPX2,YKL050C,chrXI,342852,345620
LRE1,YCL051W,chrIII,35865,37616
LRG1,YDL240W,chrIV,22823,25876
LRO1,YNR008W,chrXIV,640396,642381
LRP1,YHR081W,chrVIII,267538,268092
LRS4,YDR439W,chrIV,1339676,1340719
LSB1,YGR136W,chrVII,762428,763153
LSB3,YFR024C-A,chrVI,201960,203433
LSB5,YCL034W,chrIII,61658,62722
LSB6,YJL100W,chrX,237263,239086
LSC1,YOR142W,chrXV,593057,594046
LSC2,YGR244C,chrVII,978036,979319
LSG1,YGL099W,chrVII,314631,316553
LSM1,YJL124C,chrX,187126,187644
LSM12,YHR121W,chrVIII,352756,353319
LSM2,YBL026W,chrII,170623,171038
LSM3,YLR438C-A,chrXII,1013909,1014178
LSM4,YER112W,chrV,387232,387795
LSM5,YER146W,chrV,462585,462866
LSM6,YDR378C,chrIV,1229349,1229609
LSM7,YNL147W,chrXIV,350940,351383
LSM8,YJR022W,chrX,469784,470113
LSO1,YJR005C-A,chrX,448477,448758
LSO2,YGR169C-A,chrVII,836387,836665
LSP1,YPL004C,chrXVI,550632,551657
