REGION,GENE,SGDID,CHROM,START,STOP,STRAND,PROTEIN_LENGTH,GENE_NAME,DESCRIPTION,SUMMARY,UniprotID,UniparcID
YER185W,PUG1,S000000987,chrV,559454,560365,1,303,Protoporphyrin Uptake Gene,Plasma membrane protein involved in protoprophyrin and heme transport,Protein involved in transporting heme across membranes; localized to the plasma membrane,P40100,UPI000013AA8F
YER094C,PUP3,S000000896,chrV,348729,349346,-1,205,PUtative Proteasome subunit,Beta 3 subunit of the 20S proteasome,Endopeptidase activator involved in ubiquitin-independent and ubiquitin-dependent proteasome-mediated protein degradation; beta-type subunit of 20S proteasome,P25451,UPI0000052FE1
YEL020C,PXP1,S000000746,chrV,118617,120299,-1,560,PeroXisomal Protein,Peroxisomal matrix protein,Putative carbon-carbon lyase that localizes to peroxisome and cytoplasm,P39994,UPI000013ABD4
YEL037C,RAD23,S000000763,chrV,81407,82603,-1,398,RADiation sensitive,Proteasome-associated ubiquitin receptor,Damaged DNA and ubiquitin binding protein; subunit of nucleotide-excision repair factor 2 complex; involved in proteasome-mediated ubiquitin-dependent protein degradation,P32628,UPI0000053043
YER173W,RAD24,S000000975,chrV,536300,538279,1,659,RADiation sensitive,Checkpoint protein,"Subunit of the Rad17 RFC-like complex, which is an ATP-dependent clamp loader involved in DNA damage checkpoint signaling, nucleotide-excision repair, and reciprocal meiotic recombination",P32641,UPI000013301D
YER171W,RAD3,S000000973,chrV,527082,529418,1,778,RADiation sensitive,5' to 3' DNA helicase,"ATP-dependent 5'-3' DNA helicase involved in transcription by polymerase II and positive regulation of mitotic recombination; contributes to DNA incision involved in nucleotide-excision repair, phosphorylation of RNA polymerase II C-terminal domain, regulation of RNA-mediated transposition; subunit of core TFIIH complex",P06839,UPI00000532A9
YER162C,RAD4,S000000964,chrV,500630,502894,-1,754,RADiation sensitive,Damaged-DNA binding subunit of Nuclear Excision Repair Factor 2,Protein that binds single-strand break-containing DNA; subunit of the nucleotide-excision repair factor 2 complex; involved in nucleotide-excision repair and proteasome-mediated ubiquitin-dependent protein degradation; localized to the cytosol and nucleus,P14736,UPI0001F7BD50
YER095W,RAD51,S000000897,chrV,349980,351182,1,400,RADiation sensitive,Strand exchange protein,"Recombinase enzyme with DNA-dependent ATPase activity; involved in DNA recombination, telomere maintenance, mitochondrial double-strand break repair, and meiotic recombination; localizes to nuclear chromosomes and mitochondrial matrix",P25454,UPI0000052F94
YER067W,RGI1,S000000869,chrV,292066,292551,1,161,Respiratory Growth Induced,Protein involved in energy metabolism under respiratory conditions,"Protein involved in energy reserve metabolism; localizes to nucleus, cytoplasm, and cell periphery",P40043,UPI000013ACA9
YEL024W,RIP1,S000000750,chrV,107260,107907,1,215,Rieske Iron-sulfur Protein,Ubiquinol-cytochrome-c reductase,Ubiquinol-cytochrome-c reductase subunit of mitochondrial respiratory chain complex III; involved in aerobic respiration and mitochondrial electron transport,P08067,UPI0000137A75
YEL072W,RMD6,S000000798,chrV,13720,14415,1,231,Required for Meiotic nuclear Division,Protein required for sporulation,Protein whose biological role and cellular location are unknown,P39975,UPI000013AC59
YEL050C,RML2,S000000776,chrV,59670,60851,-1,393,Ribosomal Mitochondrial Large,Mitochondrial ribosomal protein of the large subunit (L2),"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion",P32611,UPI0000053026
YER070W,RNR1,S000000872,chrV,298950,301616,1,888,RiboNucleotide Reductase,Major isoform of large subunit of ribonucleotide-diphosphate reductase,Subunit of the ribonucleoside-diphosphate reductase complex; nucleotide-binding protein that contributes to the ribonucleoside-diphosphate reductase activity of the complex; involved in deoxyribonucleotide biosynthesis and localizes to the cytoplasm,P21524,UPI0000133974
YER169W,RPH1,S000000971,chrV,523369,525759,1,796,Regulator of PHR1,JmjC domain-containing histone demethylase,Histone demethylase specific for K36 tri- and dimethylated histone H3; independently functions as a transcription factor that represses the expression of genes involved in autophagy and DNA repair; involved in transcriptional elongation,P39956,UPI000013ACD1
YEL054C,RPL12A,S000000780,chrV,52721,53218,-1,165,Ribosomal Protein of the Large subunit,Ribosomal 60S subunit protein L12A,Subunit of the cytosolic large ribosomal subunit; involved in ribosomal large subunit assembly and translation,P0CX53,UPI000004F901
YER117W,RPL23B,S000000919,chrV,396769,397653,1,137,Ribosomal Protein of the Large subunit,Ribosomal 60S subunit protein L23B,Subunit of the cytosolic large ribosomal subunit; involved in translation,P0CX42,UPI0000052E2D
YER056C-A,RPL34A,S000002135,chrV,269423,270185,-1,121,Ribosomal Protein of the Large subunit,Ribosomal 60S subunit protein L34A,Subunit of the cytosolic large ribosomal subunit; involved in translation and ribosome biogenesis,P87262,UPI0000132FCE
YER021W,RPN3,S000000823,chrV,196948,198519,1,523,Regulatory Particle Non-ATPase,Essential non-ATPase regulatory subunit of the 26S proteasome lid,Peripheral lid subunit of proteasome regulatory particle involved in ubiquitin-dependent protein degradation,P40016,UPI0000053046
YER074W,RPS24A,S000000876,chrV,306323,307196,1,135,Ribosomal Protein of the Small subunit,Protein component of the small (40S) ribosomal subunit,Subunit of the cytosolic small ribosomal subunit; involved in maturation of the small subunit rRNA and translation,P0CX31,UPI0000168313
YER131W,RPS26B,S000000933,chrV,423952,424311,1,119,Ribosomal Protein of the Small subunit,Protein component of the small (40S) ribosomal subunit,"Subunit of the cytosolic small ribosomal subunit; involved in nuclear export of rRNA, and translation",P39939,UPI0000132F7D
YER102W,RPS8B,S000000904,chrV,363100,363702,1,200,Ribosomal Protein of the Small subunit,Protein component of the small (40S) ribosomal subunit,Subunit of the cytosolic small ribosomal subunit; involved in maturation of the small subunit rRNA and translation,P0CX40,UPI0000036C42
YER066W,RRT13,S000000868,chrV,290242,290799,1,185,Regulator of rDNA Transcription,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P40042,UPI000013ACA8
YER050C,RSM18,S000000852,chrV,253971,254387,-1,138,Ribosomal Small subunit of Mitochondria,Mitochondrial ribosomal protein of the small subunit,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion",P40033,UPI000065C6A4
YER125W,RSP5,S000000927,chrV,410189,412618,1,809,Reverses Spt- Phenotype,NEDD4 family E3 ubiquitin ligase,"E3 ubiquitin ligase that conjugates ubiquitin to proteins to target them for degradation; known to ubiquitinate Ste4p; involved in regulating a variety of processes via ubiquitin-dependent catabolism including organization of the mitochondrion, multivesilular body size, initiation of the mating tip projection and actin cytoskeletal organization; positively regulates dolichol and fatty acid biosynthesis; localized throughout the cell",P39940,UPI000013521A
YER139C,RTR1,S000000941,chrV,450563,451243,-1,226,Regulator of TRanscription,Dual specificity protein phosphatase,Zinc-binding phosphatase that dephosphorylates the C-terminal domain of RNA Pol II; localizes to the nucleus and cytoplasm,P40084,UPI0000053231
YER104W,RTT105,S000000906,chrV,366802,367428,1,208,Regulator of Ty1 Transposition,Chaperone for Replication Protein A complex (RPA),Chaperone for nuclear import of the replication protein A complex; also involved in regulation of RNA-mediated transposition; localizes to the nucleus and cytoplasm,P40063,UPI000013ACBB
YER043C,SAH1,S000000845,chrV,235770,237119,-1,449,S-Adenosyl-l-Homocysteine hydrolase,S-adenosyl-L-homocysteine hydrolase,"Cytoplasmic adenosylhomocysteinase involved in triglyceride metabolism, phosphatidylcholine biosynthesis, and S-adenosylhomocysteine catabolism",P39954,UPI000013551C
YER129W,SAK1,S000000931,chrV,417281,420709,1,1142,Snf1 Activating Kinase,Upstream serine/threonine kinase for the SNF1 complex,Cytoplasmic serine/threonine kinase; has a role in regulating glycogen biosynthesis,P38990,UPI0000052F24
YER047C,SAP1,S000000849,chrV,243810,246503,-1,897,Sin1 Associated Protein,Putative ATPase of the AAA family,Cytoplasmic protein that enables ATP hydrolysis activity,P39955,UPI0000135543
YER087C-B,SBH1,S000002128,chrV,332582,332830,-1,82,Sec61 beta homolog,Beta subunit of Sec61p ER translocation complex (Sec61p-Sss1p-Sbh1p),Subunit of the SEC61 translocon complex; involved in protein translocation into the ER and targeting new proteins to membranes,P52870,UPI00001354AE
YER019C-A,SBH2,S000002127,chrV,194273,194539,-1,88,Sec61 beta homolog,Ssh1p-Sss1p-Sbh2p complex component,"ARF guanyl-nucleotide exchange factor involved in signal-recognition particle-dependent cotranslational protein targeting to membrane; subunit of Ssh1 translocon complex, localizes to inner nuclear membrane",P52871,UPI00001354AF
YER147C,SCC4,S000000949,chrV,462968,464842,-1,624,Sister Chromatid Cohesion,Subunit of cohesin loading factor (Scc2p-Scc4p),"Kinetochore binding protein involved in double-strand break repair, mitotic chromosome and rDNA condensation and mitotic sister chromatid cohesion; localized to the SMC loading complex and nuclear chromatin",P40090,UPI00000530B1
YER120W,SCS2,S000000922,chrV,401135,401869,1,244,Suppressor of Choline Sensitivity,"Integral ER membrane protein, regulates phospholipid metabolism","Phosphatidylinositol- and FFAT-motif binding protein involved in endoplasmic reticulum (ER) inheritance, ER polarization and ER membrane organization; regulates nuclear import of transcription factors and intracellular lipid transport; also involved in phospholipid biosynthesis and telomeric chromatin silencing; localizes to the nuclear envelope, nucleus-vacuolar junctions, the ER, and bud tips and necks",P40075,UPI0000052E49
YEL057C,SDD1,S000000783,chrV,45020,45721,-1,233,Suppressor of Degenerative Death,Protein of unknown function,Protein whose biological role and cellular location are unknown,P39983,UPI000013AC2C
YER008C,SEC3,S000000810,chrV,167808,171818,-1,1336,SECretory,Subunit of the exocyst complex,"Subunit of the exocyst complex which mediates the targeting and tethering of post-Golgi secretory vesicles containing exocytic cargo to sites of exocytosis at the plasma membrane; interacts directly with the active, GTP-bound form of Cdc42 (Rho GTPase), and with PtdIns[4,5]P2; involved in exocyst assembly and ER inheritance; localizes to sites of polarized growth",P33332,UPI0000052EB3
YER081W,SER3,S000000883,chrV,322686,324095,1,469,SERine requiring,3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase,3-phosphoglycerate dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; 3-phosphoglycerate dehydrogenase that converts alpha-ketoglutarate to D-2-hydroxyglutarate; localizes to the cytoplasm,P40054,UPI0000052E54
YER096W,SHC1,S000000898,chrV,351698,353236,1,512,Sporulation-specific Homolog of CSD4,Sporulation-specific activator of Chs3p (chitin synthase III),Prospore membrane protein; activates chitin synthase III enzyme activity during ascopore formation,P39000,UPI000013ACB5
YER118C,SHO1,S000000920,chrV,397952,399055,-1,367,"Synthetic, High Osmolarity-sensitive",Transmembrane osmosensor for filamentous growth and HOG pathways,Membrane protein with osmosensor activity; subunit of the HICS complex; involved in cell polarity establishment and signaling for filamentous growth; localizes to the plasma membrane and bud,P40073,UPI0000135F88
YEL065W,SIT1,S000000791,chrV,27657,29543,1,628,Siderophore Iron Transport,Ferrioxamine B transporter,"Siderophore uptake transmembrane transporter involved in iron homeostasis; localizes to vacuole, endosome, and cytoplasmic vesicles",P39980,UPI000013AC45
YER180C-A,SLO1,S000028437,chrV,550865,551122,-1,85,Scoco-Like Orf,Protein interacting with Arl3p,Protein involved in intracellular protein transport,Q3E784,UPI0000168317
YER116C,SLX8,S000000918,chrV,395348,396172,-1,274,Synthetic Lethal of unknown (X) function,Subunit of Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex,Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex; contributes to the ubiquitin ligase activity of the complex; involved in the cellular response to DNA damage and telomere maintenance; localizes to the nucleus with a sub-pool at the centromere,P40072,UPI000013ACBE
YER029C,SMB1,S000000831,chrV,212587,213177,-1,196,SmB/B' homolog,Core Sm protein Sm B,"mRNA splicing protein associated with the U5 snRNP, U4/U6 x U5 tri-snRNP complex, and the U2-type prespliceosome",P40018,UPI00000530DC
YEL026W,SNU13,S000000752,chrV,101943,102323,1,126,Small NUclear ribonucleoprotein associated,RNA binding protein,"RNA binding protein involved in messenger RNA (mRNA) splicing; contributes to the maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); associates with U4/U6 x U5 tri-snRNP complex",P39990,UPI000005321F
YEL059C-A,SOM1,S000002954,chrV,42400,42624,-1,74,SOrting Mitochondrial,Subunit of the mitochondrial inner membrane peptidase (IMP),Subunit of mitochondrial inner membrane peptidase complex involved in proteolysis and mitochondrial respiratory chain complex assembly,Q05676,UPI0000135C84
YER018C,SPC25,S000000820,chrV,191959,192624,-1,221,Spindle Pole Component,Component of the kinetochore-associated Ndc80 complex,Subunit of Ndc80 complex involved in centromere clustering and chromosome segregation; localizes to kinetochore,P40014,UPI000013AC83
YEL031W,SPF1,S000000757,chrV,90258,93905,1,1215,Sensitivity to Pichia Farinosa killer toxin,"P-type ATPase, ion transporter of the ER membrane","P-type ATPase involved in the homeostasis of calcium, manganese, and sterol; localizes to the endoplasmic reticulum membrane and the cis-Golgi network",P39986,UPI0000052E71
YER150W,SPI1,S000000952,chrV,468370,468816,1,148,Stationary Phase Induced,GPI-anchored cell wall protein involved in weak acid resistance,Cell wall protein involved in the response to acidic pH,P40092,UPI000004F909
YER046W,SPO73,S000000848,chrV,243180,243611,1,143,SPOrulation,Meiosis-specific protein required for prospore membrane morphogenesis,Protein involved in prospore membrane assembly and spore wall formation; localizes to the cytosol and the prospore membrane,P40031,UPI000013AC9A
YER115C,SPR6,S000000917,chrV,394292,394867,-1,191,SPorulation Regulated,Protein of unknown function,Mitochondrial protein implicated in sporulation,Q01684,UPI0000135E6F
YER148W,SPT15,S000000950,chrV,465303,466025,1,240,SuPpressor of Ty insertions,TATA-binding protein (TBP),"DNA- and chromatin-binding general transcription factor that recruits other transcription factors in preinitiation complex assembly for RNA polymerases II and III, and rDNA transcription by RNA polymerase I; subunit of TFIID and TFIIIB; also involved in the chromosomal incorporation of transposable elements",P13393,UPI0000052F66
YER161C,SPT2,S000000963,chrV,499347,500348,-1,333,SuPpressor of Ty's,Protein involved in negative regulation of transcription,"DNA binding protein involved in negative regulation of transcription by RNA polymerase II, chromatin organization; localized to the nucleus and during hypoxia, localized to cytosol",P06843,UPI0000135E8F
YER022W,SRB4,S000000824,chrV,198812,200875,1,687,Suppressor of RNA polymerase B,Subunit of the RNA polymerase II mediator complex,Core RNA polymerase II recruiting transcription factor component of the mediator complex involved in the initiation of basal RNA polymerase II transcription,P32569,UPI000005315C
YER103W,SSA4,S000000905,chrV,364589,366517,1,642,Stress-Seventy subfamily A,Heat shock protein that is highly induced upon stress,Protein chaperone involved in translocation during SRP-dependent cotranslational protein targeting to membrane; localizes to both nucleus and cytoplasm,P22202,UPI000004F907
YER111C,SWI4,S000000913,chrV,382595,385876,-1,1093,SWItching deficient,DNA binding component of the SBF complex (Swi4p-Swi6p),Sequence-specific DNA binding transcription factor that activates transcription by RNA polymerase II during heat stress and during the G1/S mitotic transition; component of the SBF complex,P25302,UPI000013629F
YEL048C,TCA17,S000000774,chrV,64709,65167,-1,152,TRAPP Complex Associated protein,Component of transport protein particle (TRAPP) complex II,"Subunit of the TRAPPII complex, a multisubunit guanine nucleotide-exchange factor; involved in assembly of the TRAPPII complex and in early endosome to Golgi vesicle-mediated transport; localizes to the Golgi apparatus, and in high-throughput studies to the cytosol and clathrin-coated vesicles",P32613,UPI000013AC29
YER071C,TDA2,S000000873,chrV,301947,302327,-1,126,Topoisomerase I Damage Affected,Subunit of a complex that associates with actin filaments,"Contibutes to actin filament binding with Aim21p, and inhibits barbed-end elongation of actin filaments; localizes to actin cortical patches and to the cytoplasm and mating projection tip in large-scale studies",P40045,UPI0000052F4E
YER063W,THO1,S000000865,chrV,281710,282366,1,218,suppressor of the Transcriptional defect of Hpr1 by Overexpression,Conserved nuclear RNA-binding protein,"Nuclear protein that binds dsDNA, RNA, and chromatin; involved in transcription, nuclear poly(A)+ mRNA export, and ribonucleoprotein complex assembly",P40040,UPI0000136EC4
YEL020W-A,TIM9,S000007256,chrV,117211,117474,1,87,Translocase of the Inner Mitochondrial membrane,Essential protein of the mitochondrial intermembrane space,Protein carrier and chaperone that inserts other proteins into the inner mitochondrial membrane; subunit of TIM22 mitochondrial import inner membrane insertion complex,O74700,UPI000012D5C9
YER011W,TIR1,S000000813,chrV,175248,176012,1,254,TIp1-Related,Cell wall mannoprotein,Cell wall protein involved in cell wall organization; also localizes to vacuole,P10863,UPI0000136FB8
YER007C-A,TMA20,S000002957,chrV,166237,166885,-1,181,Translation Machinery Associated,Ribosome-associated protein,Cytosolic putative RNA-binding protein involved in ribosome biogenesis,P89886,UPI0000053056
YER113C,TMN3,S000000915,chrV,387932,390052,-1,706,TransMembrane Nine,Protein with a role in cellular adhesion and filamentous growth,"Protein involved in pseudohyphal growth, vacuolar transport, cellular copper ion homeostasis, and invasive growth in response to glucose limitation; localizes to Golgi apparatus and COPI-coated vesicles",P40071,UPI000013ACBD
YER175C,TMT1,S000000977,chrV,539464,540363,-1,299,Trans-aconitate MethylTransferase,Trans-aconitate methyltransferase,Trans-aconitate 3-methyltransferase involved in cellular response to amino acid starvation; localizes to cytosol,P32643,UPI000013AA64
YER184C,TOG1,S000000986,chrV,556296,558680,-1,794,Transcriptional regulator of Oleate utilization Genes,Transcriptional activator of oleate genes,DNA-binding transcription factor with sequence-specific DNA binding and zinc ion binding activity; involved in positive regulation of transcription by RNA polymerase II; localizes to nucleus,P39961,UPI000013AA8C
YER049W,TPA1,S000000851,chrV,251728,253662,1,644,Termination and PolyAdenylation,Prolyl hydroxylase,Prolyl hydroxylase that catalyzes the dihydroxylation of Rps23a/b; role in translational termination and the regulation of translational accuracy; contains poly (A) binding activity and is involved in deadenylation-dependent mRNA catabolism; localizes to the nucleus,P40032,UPI000013AC9B
YER090W,TRP2,S000000892,chrV,337949,339472,1,507,TRyPtophan,Anthranilate synthase,Anthranilate synthase involved in tryptophan biosynthesis; catalyzes the the conversion of chorismate to anthranilate; subunit of the anthranilate synthase complex,P00899,UPI0000052EA7
YER093C,TSC11,S000000895,chrV,343320,347612,-1,1430,Temperature-sensitive Suppressors of Csg2 mutants,"Subunit of TORC2, a regulator of plasma membrane (PM) homeostasis","TORC2 subunit involved in TOR signaling, sphingolipid biosynthesis, cell wall organization, cytoskeleton organization, and regulation of growth; localizes to cytosol",P40061,UPI00000530BE
YER100W,UBC6,S000000902,chrV,359562,360314,1,250,UBiquitin-Conjugating,Ubiquitin-conjugating enzyme involved in ERAD,Ubiquitin-protein transferase involved in ER-associated protein degradation (ERAD) of ER membrane proteins such as Ste6p and nuclear proteins such as MATalpha2p; involved in both protein monoubiquitination and polyubiquitination; localizes to the ER membrane,P33296,UPI0000137965
YEL012W,UBC8,S000000738,chrV,131772,132551,1,218,UBiquitin-Conjugating,Ubiquitin-conjugating enzyme that regulates gluconeogenesis,Cytoplasmic ubiquitin-protein transferase involved in proteasome-mediated protein catabolism; downregulates gluconeogenesis,P28263,UPI000013796B
YER151C,UBP3,S000000953,chrV,469686,472424,-1,912,UBiquitin-specific Protease,Ubiquitin-specific protease that cleaves Ub-protein fusions,A thiol-dependent ubiquitin-specific protease that is a component of the Ubp3-Bre5 deubiquitination complex; binds mRNA and regulates the osmotic stress response and ER to Golgi vesicle-mediated transport; also involved in ribophagy; localized to the cytoplasm,Q01477,UPI00001379DE
YER144C,UBP5,S000000946,chrV,457806,460223,-1,805,UBiquitin-specific Protease,Putative ubiquitin-specific protease,Putative thiol-dependent isopeptidase involved in protein deubiquitination; localizes to the presumptive bud site and bud neck,P39944,UPI00001379E3
YER098W,UBP9,S000000900,chrV,355466,357730,1,754,UBiquitin-specific Protease,Putative ubiquitin-specific protease that cleaves ubiquitin-protein fu,Putative thiol-dependent isopeptidase involved in protein deubiquitination; localizes to the cytoplasm,P39967,UPI00001379E9
YEL021W,URA3,S000000747,chrV,116167,116970,1,267,URAcil requiring,Orotidine-5'-phosphate (OMP) decarboxylase,Orotidine-5'-phosphate decarboxylase involved in the 'de novo' biosynthesis of pyrimidine nucleobases; localized to the cytosol,P03962,UPI000004C5DD
YER082C,UTP7,S000000884,chrV,324272,325936,-1,554,U Three Protein,Nucleolar protein,Nucleolar protein subunit of the preribosome and small subunit processome; involved in rRNA processing,P40055,UPI000005301E
YEL040W,UTR2,S000000766,chrV,78053,79456,1,467,Unidentified TRanscript,Chitin transglycosylase,Glycosyltransferase involved in chitin metabolism and cell wall organization; localizes to cell wall and bud neck septin ring,P32623,UPI0000168308
YEL038W,UTR4,S000000764,chrV,80462,81145,1,227,Unidentified TRanscript,Protein with sequence similarity to acireductone synthases,Putative acireductone synthase involved in L-methionine salvage from methylthioadenosine; localizes to both cytoplasm and nucleus,P32626,UPI0000D7969E
YEL035C,UTR5,S000000761,chrV,85045,85545,-1,166,Unidentified TRanscript,Protein of unknown function,Protein whose biological role and cellular location are unknown,P32630,UPI0000137E69
YEL005C,VAB2,S000000731,chrV,145907,146755,-1,282,VAc8p Binding,Subunit of the BLOC-1 complex involved in endosomal maturation,Subunit of BLOC-1 complex required for biogenesis of specialized organelles of the endosomal-vacuolar system; localizes to cytoplasm,P40003,UPI000013AB92
YEL013W,VAC8,S000000739,chrV,128825,130561,1,578,VACuole related,Vacuole-specific Myo2p receptor,"Subunit of the MYO2-VAC17-VAC8 transport complex and NVJ1-VAC8 nucleus-vacuole junction complex; acts as protein-membrane adaptor; involved in protein localization to membranes and assembly of autophagosome, nucleus-vacuole junction, Cvt vesicle; also involved in vacuole fusion and inheritance; localized to vacuole membranes",P39968,UPI00001380B6
YER128W,VFA1,S000000930,chrV,415859,416470,1,203,Vps Four-Associated,Protein that interacts with Vps4p and has a role in vacuolar sorting,ATPase activator involved in vacuolar transport; localizes to cytoplasm and endosomes,P40080,UPI000013ACC2
YER064C,VHR2,S000000866,chrV,282705,284222,-1,505,VHt1 Regulator,Non-essential nuclear protein,Protein involved in transcription regulation; localizes to both nucleus and cytoplasm,P40041,UPI000013ACA6
YEL027W,VMA3,S000000753,chrV,100769,101251,1,160,Vacuolar Membrane Atpase,Proteolipid subunit c of the V0 domain of vacuolar H(+)-ATPase,"Subunit of vacuolar proton-transporting V-type ATPase involved in endocytosis, vacuolar protein targeting, vacuole acidification, and metal ion homeostasis",P25515,UPI0000138201
YEL051W,VMA8,S000000777,chrV,58378,59148,1,256,Vacuolar Membrane Atpase,Subunit D of the V1 peripheral membrane domain of V-ATPase,Subunit of vacuolar proton-transporting V-type ATPase complex involved in vacuolar acidification; localizes to vacuolar membrane,P32610,UPI0000053074
YER072W,VTC1,S000000874,chrV,302806,303195,1,129,Vacuolar Transporter Chaperone,Regulatory subunit of vacuolar transporter chaperone (VTC) complex,"mRNA-binding protein involved in vacuolar transport, fusion and microautophagy; also involved in polyphosphate metabolism; localizes to endoplasmic reticulum, vacuole membrane, and nuclear membrane",P40046,UPI0000138E5A
YEL002C,WBP1,S000000728,chrV,148722,150014,-1,430,Wheat germ agglutinin-Binding Protein,Non-catalytic beta subunit of the oligosaccharyltransferase (OST) comp,Protein subunit of oligosaccharyltransferase complex that transfers lipid-linked oligosaccharide precursor to asparagine residues on nascent proteins; localizes to endoplasmic reticulum membrane and nuclear envelope,P33767,UPI000005303F
YER024W,YAT2,S000000826,chrV,202192,204963,1,923,,Carnitine acetyltransferase,Cytosolic carnitine O-acetyltransferase involved in metabolism of alcohol and carnitine,P40017,UPI000013AC85
YER123W,YCK3,S000000925,chrV,404813,406387,1,524,Yeast Casein Kinase,Palmitoylated vacuolar membrane-localized casein kinase I isoform,"Protein kinase involved in vesicle-mediated transport; localizes to nucleus, vacuole membrane, and plasma membrane",P39962,UPI0000127A62
YEL004W,YEA4,S000000730,chrV,146951,147979,1,342,,Uridine diphosphate-N-acetylglucosamine (UDP-GlcNAc) transporter,UDP-N-acetylglucosamine transmembrane transporter involved in chitin biosynthesis; localizes to ER,P40004,UPI000013AB91
YEL006W,YEA6,S000000732,chrV,144327,145334,1,335,,Mitochondrial NAD+ transporter,Mitochondrial NAD transmembrane transporter,P39953,UPI000013AB93
YEL041W,YEF1,S000000767,chrV,75944,77431,1,495,,ATP-NADH kinase,NAD+ and NADH kinase involved in NADP biosynthesis,P32622,UPI000013AC24
YER041W,YEN1,S000000843,chrV,232461,234740,1,759,,Holliday junction resolvase,Crossover junction endodeoxyribonuclease involved in DNA repair as part of the cellular response to DNA damage stimulus; localizes to both nucleus and cytoplasm,P40028,UPI0001F7BD52
YER005W,YND1,S000000807,chrV,160550,162442,1,630,Yeast Nucleoside Diphosphatase,Apyrase with wide substrate specificity,"Nucleotide-diphosphatase and -triphosphatase involved protein glycosylation; localizes to Golgi membrane, colocalizes with COPI-coated vesicles",P40009,UPI000013BB02
YER074W-A,YOS1,S000007651,chrV,307653,308123,1,85,Yip One Suppressor,Integral membrane protein required for ER to Golgi transport,"Protein involved in ER-to-Golgi vesicle-mediated transport; localizes to ER membrane, Golgi membrane, and COPII-coated transport vesicles",Q3E834,UPI000034F5C7
YER031C,YPT31,S000000833,chrV,214076,214747,-1,223,Yeast Protein Two,Rab family GTPase,"GTPase involved in vesicle-mediated transport, early endosome to Golgi transport, and exocytosis; localizes to Golgi apparatus, trans-Golgi network, endosomes, and mitochondrial outer membrane",P38555,UPI0000052FA0
YER190W,YRF1-2,S000000992,chrV,571480,576525,1,1681,,Helicase encoded by the Y' element of subtelomeric regions,DNA helicase involved in telomere maintenance via recombination,P40105,UPI000013BFCE
YER033C,ZRG8,S000000835,chrV,218057,221287,-1,1076,Zinc Regulated Gene,Protein of unknown function,"Protein involved in cell wall organization; localizes to cytoplasm, mitochondria, bud neck and shmoo tip",P40021,UPI000013AC8F
YEL008C-A,YEL008C-A,S000028618,chrV,140726,140818,-1,30,,Protein of unknown function,,Q8TGP3,UPI000006AFF8
YEL008W,YEL008W,S000000734,chrV,140512,140892,1,126,,Putative protein of unknown function,,P40001,UPI000013AB96
YEL009C-A,YEL009C-A,S000028741,chrV,136371,136778,-1,135,,Putative protein of unknown function,,A0A023PZF2,UPI000176C760
YEL010W,YEL010W,S000000736,chrV,136279,136629,1,116,,Dubious open reading frame,,P40000,UPI000013ABB9
YEL014C,YEL014C,S000000740,chrV,128303,128608,-1,101,,Putative protein of unknown function,,P39999,UPI000013ABBA
YEL018C-A,YEL018C-A,S000028742,chrV,121455,121988,-1,177,,Dubious open reading frame,,A0A023PYD9,UPI000176C75F
YEL020C-B,YEL020C-B,S000028544,chrV,117183,117380,-1,65,,Dubious open reading frame,,P0C5M6,UPI00015E168C
YEL023C,YEL023C,S000000749,chrV,108504,110552,-1,682,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown,P39992,UPI000013ABD6
YEL025C,YEL025C,S000000751,chrV,102581,106147,-1,1188,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large scale study,P39991,UPI000013ABD8
YEL028W,YEL028W,S000000754,chrV,98668,99129,1,153,,Putative protein of unknown function,,P39989,UPI000013ABD9
YEL030C-A,YEL030C-A,S000028619,chrV,94583,94897,-1,104,,Protein of unknown function,,Q8TGR5,UPI000006A849
YEL032C-A,YEL032C-A,S000028620,chrV,87040,87201,-1,53,,Protein of unknown function,,Q8TGP4,UPI0000069C91
YEL034C-A,YEL034C-A,S000028743,chrV,85613,86215,-1,200,,Dubious open reading frame,,Q02217,UPI000059C9AF
YEL045C,YEL045C,S000000771,chrV,68840,69265,-1,141,,Dubious open reading frame,,P32616,UPI000013AC27
YEL050W-A,YEL050W-A,S000028545,chrV,59549,59740,1,63,,Dubious open reading frame unlikely to encode a functional protein,,P0C5M7,UPI00015E168D
YEL053W-A,YEL053W-A,S000028744,chrV,52908,53255,1,115,,Dubious open reading frame,,A0A023PXC2,UPI000176C75B
YEL067C,YEL067C,S000000793,chrV,26189,26776,-1,195,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the mitochondrion in large scale studies,P39978,UPI000013AC47
