REGION,GENE,SGDID,CHROM,START,STOP,STRAND,PROTEIN_LENGTH,GENE_NAME,DESCRIPTION,SUMMARY
YDR100W,TVP15,S000002507,chrIV,655013,655444,1,143,Tlg2-Vesicle Protein,Integral membrane protein,Golgi membrane protein involved in vesicle-mediated transport; colocalizes with COPI-coated vesicles
YDR084C,TVP23,S000002491,chrIV,613405,614004,-1,199,Tlg2-Vesicle Protein,Integral membrane protein,Golgi membrane protein involved in vesicle-mediated transport
YDR390C,UBA2,S000002798,chrIV,1254937,1256847,-1,636,UBiquitin Activating,Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p,"Subunit of a SUMO activating enzyme (E1); contributes to the formation of a high energy thioester bond with ubiquitin-like protein SUMO, the first step in protein sumoylation; localizes to the nucleus"
YDR177W,UBC1,S000002584,chrIV,816878,817525,1,215,UBiquitin-Conjugating,Ubiquitin-conjugating enzyme,Ubiquitin conjugating enzyme that catalyzes the transfer of ubiquitin from one protein to another; involved in endoplasmic reticulum-associated protein catabolism and vesicle organization; subunit of the proteasome complex which catalyzes protein degradation
YDR092W,UBC13,S000002499,chrIV,629876,630605,1,153,UBiquitin-Conjugating,E2 ubiquitin-conjugating enzyme,"Protein-binding subunit of ubiquitin conjugating enzyme complex; involved in protein polyubiquitination, free ubiquitin chain polymerization, and postreplication repair; localizes to nucleus and cytoplasm"
YDR059C,UBC5,S000002466,chrIV,569234,569770,-1,148,UBiquitin-Conjugating,Ubiquitin-conjugating enzyme,"Proteasome-binding, ubiquitin-protein transferase involved in protein polyubiquitination"
YDL064W,UBC9,S000002222,chrIV,337487,338070,1,157,UBiquitin-Conjugating,SUMO-conjugating enzyme involved in the Smt3p conjugation pathway,SUMO transferase involved in conjugation of the SUMO protein modifier to target proteins; required for spindle elongation during mitosis; localizes to condensed nuclear chromosomes
YDL122W,UBP1,S000002280,chrIV,242552,244981,1,809,UBiquitin-specific Protease,Ubiquitin-specific protease,A ubiquitin-specific protease that is dependent on thiol; localizes to both the cytoplasm and endoplasmic reticulum
YDL091C,UBX3,S000002249,chrIV,293392,294759,-1,455,UBiquitin regulatory X,"Clathrin-coated vesicle component, regulator of endocytosis",Clathrin-binding protein with a role in endocytosis; localizes to clathrin-coated vesicles; copurifies with the Dsc ubiquitin ligase complex; mutation affects histone ubiquitination
YDR330W,UBX5,S000002738,chrIV,1127872,1129374,1,500,UBiquitin regulatory X,UBX domain-containing protein that interacts with Cdc48p,Protein of unknown function involved in proteasomal ubiquitin-dependent protein degradation; localizes to both the nucleus and cytoplasm
YDL190C,UFD2,S000002349,chrIV,118707,121592,-1,961,Ubiquitin Fusion Degradation,Conserved ubiquitin (Ub) chain assembly factor (E4),Ubiquitin-ubiquitin ligase (E4) involved in the ubiquitin-dependent ERAD pathway for protein catabolism; catalyses the K48-linked ubiquitination of proteins destined for degradation; localizes to the nucleus
YDL170W,UGA3,S000002329,chrIV,156318,157904,1,528,Utilization of GAba,Transcriptional activator for GABA-dependent induction of GABA genes,"Promoter proximal region, sequence-specific DNA binding protein that recruits additional transcription factors to activate genes involved in the utilization of gamma-aminobutyrate (GABA)"
YDL210W,UGA4,S000002369,chrIV,84270,85985,1,571,Utilization of GAba,GABA (gamma-aminobutyrate) permease,Bifunctional gamma-aminobutyric acid:proton symporter and putrescine transmembrane transporter localized to vacuole membrane
YDR470C,UGO1,S000002878,chrIV,1399706,1401214,-1,502,UGO (Japanese for fusion),Outer membrane component of the mitochondrial fusion machinery,Integral outer mitochondrial membrane protein involved in mitochondrial fusion
YDL169C,UGX2,S000002328,chrIV,158064,158735,-1,223,Unidentified Gene X,Protein of unknown function,Protein whose biological role and cellular location are unknown
YDR207C,UME6,S000002615,chrIV,865012,867522,-1,836,Unscheduled Meiotic gene Expression,Rpd3L histone deacetylase complex subunit,"Sequence-specific DNA-binding transcription factor involved in chromatin remodeling as it relates to the regulation of pseudohyphal growth, mitosis, meiosis, sporulation, lipid metabolism and nitrogen catabolite repression; component of the Rpd3L histone deacetylase complex"
YDR213W,UPC2,S000002621,chrIV,889751,892492,1,913,UPtake Control,Sterol regulatory element binding protein,"Sequence-specific DNA-binding RNA polymerase II transcription activator involved in positive regulation of ergosterol biosynthesis, sterol import, and filamentous growth in response to starvation; localizes to membranes, the perinuclear region of the cytoplasm, and the nucleus"
YDR185C,UPS3,S000002593,chrIV,831934,832473,-1,179,UnProceSsed,Mitochondrial protein of unknown function,Mitochondrial protein involved in mitochondrion generation and organization; localizes to mitchondrial intermembrane space
YDR520C,URC2,S000002928,chrIV,1481085,1483403,-1,772,URacil Catabolism,Putative Zn(II)2Cys6 motif containing transcription factor,Sequence-specific DNA binding protein presumably involved in uracil catabolism; localizes to both nucleus and cytoplasm
YDR400W,URH1,S000002808,chrIV,1271063,1272085,1,340,URidine Hydrolase,Uridine nucleosidase (uridine-cytidine N-ribohydrolase),Riboside hydrolase and uridine nucleosidase involved in pyrimidine nucleoside catabolism and NAD biosynthesis via nicotinamide riboside salvage; localizes to both nucleus and cytoplasm
YDL058W,USO1,S000002216,chrIV,345665,351037,1,1790,yUSOu - transport in Japanese,Essential protein involved in vesicle-mediated ER to Golgi transport,"Protein involved in SNARE complex assembly, ER-to-Golgi vesicle-mediated transport, and Golgi vesicle docking; localizes to Golgi membrane"
YDR324C,UTP4,S000002732,chrIV,1114433,1116763,-1,776,U Three Protein,Subunit of U3-containing 90S preribosome and SSU processome complexes,Nucleolar protein subunit of the 90S preribosome and small-subunit processome; involved in RNA polymerase I transcription regulation and pre-rRNA processing
YDR398W,UTP5,S000002806,chrIV,1267471,1269402,1,643,U Three Protein,Subunit of U3-containing Small Subunit (SSU) processome complex,Nucleolar protein subunit of the 90S preribosome and small-subunit processome; involved in RNA polymerase I transcription regulation and pre-rRNA processing; localizes to rDNA heterochromatin
YDR449C,UTP6,S000002857,chrIV,1357580,1358902,-1,440,U Three Protein,Nucleolar protein,Nucleolar U3-snoRNA binding protein involved in rRNA processing and maturation of small ribosomal subunit; part of 90S preribosome and small-subunit processome
YDL077C,VAM6,S000002235,chrIV,316971,320120,-1,1049,VAcuolar Morphogenesis,Guanine nucleotide exchange factor for the GTPase Gtr1p,"Guanine nucleotide exchange factor for GTPases Gtr1p; subunit of the HOPS endocytic tethering complex; regulates assembly of SNARE complexes, vacuolar membrane fusion, and vacuolar biogenesis; role in vesicle-mediated transport and piecemeal microautophagy of the nucleus; localizes to the vacuolar membrane"
YDR119W,VBA4,S000002526,chrIV,688227,690533,1,768,Vacuolar Basic Amino acid transporter,Protein of unknown function,Predicted integral membrane protein whose biological role is unknown; localizes to the vacuole membrane in a large-scale study
YDL128W,VCX1,S000002286,chrIV,232652,233887,1,411,VaCuolar H+/Ca2+ eXchanger,Vacuolar membrane antiporter with Ca2+/H+ and K+/H+ exchange activity,Vacuolar membrane calcium:proton and potassium:proton antiporter involved in calcium homeostasis and transport
YDR247W,VHS1,S000002655,chrIV,956013,957398,1,461,Viable in a Hal3 Sit4 background,Cytoplasmic serine/threonine protein kinase,Protein serine kinase involved in signal transduction; contributes to G1/S transition of mitotic cell cycle; unknown cellular location
YDL185W,VMA1,S000002344,chrIV,126787,130002,1,1071,Vacuolar Membrane Atpase,Subunit A of the V1 peripheral membrane domain of V-ATPase,Hydrogen ion transporting ATPase involved in vacuolar acidification and cellular protein metabolism; localizes to the vacuole membrane; subunit of the V1 domain of the vacuolar proton-transporting V-type ATPase
YDR049W,VMS1,S000002456,chrIV,553254,555152,1,632,VCP/Cdc48-associated Mitochondrial Stress-responsive,"Peptidyl-tRNA hydrolase that releases stalled peptides from ribosomes,","Aminoacyl-tRNA hydrolase subunit of Cdc48p-Npl4p-Vms1p AAA ATPase complex involved in nuclear protein quality control, mitochondria-associated protein catabolism, and ER-associated ubiquitin-dependent protein catabolism; localizes to endoplasmic reticulum membrane and mitochondria"
YDR495C,VPS3,S000002903,chrIV,1438115,1441150,-1,1011,Vacuolar Protein Sorting,Component of CORVET membrane tethering complex,"Subunit of CORVET multimeric protein complex that acts as an endosomal tether; involved in vacuolar protein targeting, vacuolar acidification, and vacuolar inheritance"
YDR080W,VPS41,S000002487,chrIV,604008,606986,1,992,Vacuolar Protein Sorting,Subunit of the HOPS endocytic tethering complex,"Rab GTPase binding protein; subunit of the HOPS endocytic tethering complex, which regulates assembly of SNARE complexes, vacuolar membrane fusion, and vacuolar biogenesis; role in vesicle-mediated transport and piecemeal microautophagy of the nucleus; localizes to the vacuolar membrane"
YDR484W,VPS52,S000002892,chrIV,1422763,1424688,1,641,Vacuolar Protein Sorting,Component of the GARP (Golgi-associated retrograde protein) complex,"Rab family GTPase-binding protein subunit of GARP complex; involved in Golgi to vacuole transport, upregulation of autophagy, sphingolipid homeostasis, and endosome-to-Golgi retrograde transport; localizes to cytosol and Golgi apparatus"
YDR027C,VPS54,S000002434,chrIV,494649,497318,-1,889,Vacuolar Protein Sorting,Component of the GARP (Golgi-associated retrograde protein) complex,"Protein subunit of GARP complex; involved in Golgi-to-vacuole transport, ascospore wall assembly, sphingolipid homeostasis, and endosome-to-Golgi retrograde transport; localizes to Golgi apparatus and mitochondria"
YDR486C,VPS60,S000002894,chrIV,1427431,1428120,-1,229,Vacuolar Protein Sorting,Protein involved in late endosome to vacuole transport,Cytoplasmic protein involved in endosome to vacuole transport via MVB sorting pathway
YDR136C,VPS61,S000002543,chrIV,727711,728283,-1,190,Vacuolar Protein Sorting,Dubious open reading frame,Protein involved in vacuolar protein sorting
YDR200C,VPS64,S000002608,chrIV,854279,856093,-1,604,Vacuolar Protein Sorting,Protein required for cytoplasm to vacuole targeting of proteins,"Endoplasmic reticulum protein involved in TOR signaling, vacuolar protein targeting, and resumption of mitotic cell division cycle by pheromone-arrested cells that have not mated; localizes to ER-Golgi intermediate compartment"
YDR485C,VPS72,S000002893,chrIV,1424820,1427207,-1,795,Vacuolar Protein Sorting,Htz1p-binding component of the SWR1 complex,Histone variant H2A.Z-binding subunit of Swr1 complex; involved in chromatin remodeling and histone exchange; localizes to both nucleus and cytoplasm
YDR372C,VPS74,S000002780,chrIV,1221112,1222149,-1,345,Vacuolar Protein Sorting,"Golgi PI4K effector, PtdIns4P sensor, and retention receptor","Mannosyltransferase- and phosphatidylinositol-4-phosphate binding protein involved in endoplasmic reticulum unfolded protein response, protein localization to Golgi, retrograde vesicle-mediated transport, and regulation of phosphatidylinositol dephosphorylation; localizes to nucleus, Golgi apparatus, and cytosol"
YDR089W,VTC5,S000002496,chrIV,622112,624721,1,869,Vacuole Transporter Chaperone,Novel subunit of the vacuolar transporter chaperone complex,Vacuolar transmembrane protein and subunit of the vacuolar transporter chaperone complex; involved in polyphosphate biosynthesis and phosphate homeostasis
YDL224C,WHI4,S000002383,chrIV,54397,56346,-1,649,WHIskey,Putative RNA binding protein,Cytoplasmic mRNA-binding protein involved in mRNA destabilization and regulation of cell size
YDR374W-A,WIP1,S000113553,chrIV,1224757,1225026,1,89,W-lIke Protein,Kinetochore localized protein of unknown function,Centromere-binding protein involved in chromosome segregation; localizes to kinetochore
YDR369C,XRS2,S000002777,chrIV,1215016,1217580,-1,854,X-Ray Sensitive,FHA domain-containing component of the Mre11 complex,"DNA-binding subunit of the Mre11 complex  involved in meiotic recombination, DNA repair, checkpoint signaling, sporulation, and telomere maintenance"
YDR259C,YAP6,S000002667,chrIV,974631,975782,-1,383,Yeast homolog of AP-1,Basic leucine zipper (bZIP) transcription factor,Sequence-specific DNA-binding transcription factor that recruits the Cyc1/Tup1 transcriptional repressor complex to RNA polymerase II promoters to downregulate transcription
YDR135C,YCF1,S000002542,chrIV,723004,727551,-1,1515,Yeast Cadmium Factor,Vacuolar glutathione S-conjugate transporter,"Bifunctional ATPase-coupled glutathione S-conjugate and bilirubin transmembrane transporter involved in glutathione metabolism, bilirubin transport, cell redox homeostasis, and vacuole fusion; localizes to vacuole membrane"
YDR325W,YCG1,S000002733,chrIV,1117126,1120233,1,1035,Yeast Cap G,Subunit of the condensin complex,"Chromatin-binding subunit of nuclear condensin complex; involved in mitotic chromosome condensation, mitotic sister chromatid segregation, tRNA gene clustering, rDNA condensation, meiotic chromosome condensation, meiotic chromosome separation, and negative regulation of meiotic DNA double-strand break formation"
YDL206W,YCX1,S000002365,chrIV,90176,92464,1,762,Yeast CCX,Protein involved in calcium-induced activation of calcineurin,Predicted integral membrane protein whose biological role is unknown
YDL072C,YET3,S000002230,chrIV,329836,330447,-1,203,Yeast Endoplasmic reticulum Transmembrane protein,Protein of unknown function,Predicted integral membrane protein whose biological role is unknown; localizes to the endoplasmic reticulum in a large-scale study
YDL120W,YFH1,S000002278,chrIV,245923,246447,1,174,Yeast Frataxin Homolog,Mitochondrial matrix iron chaperone,"Ferroxidase and iron chaperone involved in the assembly of iron-sulfur clusters, glutathione metabolism, and iron homeostasis; localized to the mitochondrial matrix"
YDR319C,YFT2,S000002727,chrIV,1105003,1105827,-1,274,,Protein needed for ER membrane biosynthesis in response to ER stress,Protein involved in phospholipid biosynthesis; localizes to endoplasmic reticulum
YDR451C,YHP1,S000002859,chrIV,1361120,1362181,-1,353,Yeast Homeo-Protein,Homeobox transcriptional repressor,Sequence-specific DNA binding transcription factor involved in the negative regulation of transcription by RNA polymerase II during the G1/S transition of the mitotic cell cycle
YDR057W,YOS9,S000002464,chrIV,565927,567555,1,542,Yeast OS-9 homolog,ER quality-control lectin,"Oligosaccharide-binding subunit of Hrd1p ubiquitin ligase ERAD-L complex and luminal surveillance complex, both of which recognize misfolded proteins; involved in endoplasmic reticulum (ER) unfolded protein response, ubiquitin-dependent ER-associated protein degradation (ERAD), and retrograde protein transport from ER to cytosol; localizes to ER lumen"
YDL235C,YPD1,S000002394,chrIV,33415,33918,-1,167,tYrosine Phosphatase Dependent,Osmotic stress-responsive phosphorelay intermediate sensor protein,Protein histidine kinase-binding phosphotransferase involved in osmosensory signaling; localizes to both nucleus and cytoplasm
YDR352W,YPQ2,S000002760,chrIV,1181801,1182754,1,317,Yeast PQ-loop protein,Putative vacuolar membrane transporter for cationic amino acids,Basic amino acid transmembrane transporter involved in vacuolar export; localizes to vacuolar membrane
YDR368W,YPR1,S000002776,chrIV,1213904,1214842,1,312,Yeast Putative Reductase,NADPH-dependent aldo-keto reductase,NADPH-dependent carbonyl reductase involved in arabinose catabolism
YDR349C,YPS7,S000002757,chrIV,1172386,1174176,-1,596,YaPSin,Putative GPI-anchored aspartic protease,Putative aspartic-type endopeptidase involved in cell wall organization; localizes to cytoplasm and endoplasmic reticulum
YDR381W,YRA1,S000002789,chrIV,1236558,1238004,1,226,Yeast RNA Annealing protein,Nuclear polyadenylated RNA-binding protein,"RNA-binding protein and ATP-dependent RNA helicase inhibitor; involved in mRNA export from the nucleus and transcription-coupled nucleotide-excision repair; subunit of the transcription export (TREX) complex, which couples transcription elongation by RNA polymerase II to mRNA export"
YDR002W,YRB1,S000002409,chrIV,453045,453650,1,201,Yeast Ran Binder,Ran GTPase binding protein,"Ran GTPase-binding protein involved in nuclear RNA export, nuclear protein import, ubiquitin-dependent protein catabolism, and G1/S transition of cell cycle; localizes to both nucleus and cytoplasm"
YDR545W,YRF1-1,S000002953,chrIV,1526321,1531711,1,1796,,Helicase encoded by the Y' element of subtelomeric regions,DNA helicase involved in telomere maintenance via recombination
YDR326C,YSP2,S000002734,chrIV,1120609,1124925,-1,1438,Yeast Suicide Protein,Sterol-binding protein,Sterol binding protein with a role in intracellular sterol transport; localizes to mitochondria and the cortical ER
YDR285W,ZIP1,S000002693,chrIV,1032436,1035063,1,875,molecular ZIPper,Transverse filament protein of the synaptonemal complex,Component of synaptonemal complex transverse filament; binds SUMO polymers and regulates protein sumoylation; required for localization of SUMO E3 ligase Cst9p to sites of double-strand breaks during double-strand break repair via homologous recombination
YDL007C-A,YDL007C-A,S000113557,chrIV,436567,436824,-1,85,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDL009C,YDL009C,S000002167,chrIV,432925,433248,-1,107,,Protein of unknown function,Protein whose biological role is unknown; localizes to the cytosol
YDL011C,YDL011C,S000002169,chrIV,432308,432631,-1,107,,Dubious open reading frame,
YDL012C,YDL012C,S000002170,chrIV,431108,431517,-1,107,,Tail-anchored plasma membrane protein with a conserved CYSTM module,Protein whose biological role is unknown; localizes to the plasma membrane in a large-scale study
YDL016C,YDL016C,S000002174,chrIV,425570,425872,-1,100,,Dubious open reading frame,
YDL022C-A,YDL022C-A,S000028537,chrIV,409808,410056,-1,82,,Protein of unknown function,Protein whose biological role is unknown; localizes to the cytosol
YDL023C,YDL023C,S000002181,chrIV,411761,412081,-1,106,,Dubious open reading frame,
YDL025W-A,YDL025W-A,S000028610,chrIV,405410,405514,1,34,,Dubious open reading frame,
YDL026W,YDL026W,S000002184,chrIV,404749,405060,1,103,,Dubious open reading frame,
YDL032W,YDL032W,S000002190,chrIV,393690,394001,1,103,,Dubious open reading frame,
YDL034W,YDL034W,S000002192,chrIV,391783,392127,1,114,,Dubious open reading frame,
YDL038C,YDL038C,S000002196,chrIV,382327,384078,-1,583,,Merged open reading frame,
YDL041W,YDL041W,S000002199,chrIV,378102,378455,1,117,,Dubious open reading frame,
YDL050C,YDL050C,S000002208,chrIV,364446,364817,-1,123,,Dubious open reading frame,
YDL057W,YDL057W,S000002215,chrIV,351434,352420,1,328,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDL062W,YDL062W,S000002220,chrIV,339857,340282,1,141,,Dubious open reading frame,
YDL068W,YDL068W,S000002226,chrIV,333500,333829,1,109,,Dubious open reading frame,
YDL071C,YDL071C,S000002229,chrIV,330666,331040,-1,124,,Dubious open reading frame,
YDL085C-A,YDL085C-A,S000007588,chrIV,302464,302670,-1,68,,Homolog of modifier of aggregation-4 (MOAG-4) from worm and small EDRK,Protein whose biological role is unknown; localizes to both nucleus and cytoplasm
YDL086C-A,YDL086C-A,S000028611,chrIV,301655,302089,-1,144,,Dubious open reading frame,
YDL086W,YDL086W,S000002244,chrIV,301413,302234,1,273,,Putative carboxymethylenebutenolidase,Putative carboxymethylenebutenolidase; localizes to cytoplasm and mitochondria
YDL094C,YDL094C,S000002252,chrIV,289572,290081,-1,169,,Dubious open reading frame,
YDL109C,YDL109C,S000002267,chrIV,265258,267201,-1,647,,Putative lipase,
YDL114W,YDL114W,S000002272,chrIV,255604,256530,1,308,,Putative short-chain dehydrogenase/reductase,Predicted integral membrane protein whose biological role is unknown
YDL114W-A,YDL114W-A,S000007598,chrIV,254935,255048,1,37,,Dubious open reading frame,
YDL118W,YDL118W,S000002276,chrIV,247302,247682,1,126,,"Dubious open reading frame, unlikely to encode a protein",
YDL124W,YDL124W,S000002282,chrIV,240259,241197,1,312,,NADPH-dependent alpha-keto amide reductase,An aldo-keto reductase involved in cellular response to oxidative stress and cellular ketone and amide metabolism
YDL129W,YDL129W,S000002287,chrIV,231024,231899,1,291,,Protein of unknown function,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study
YDL144C,YDL144C,S000002303,chrIV,198662,199732,-1,356,,Protein of unknown function,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study
YDL152W,YDL152W,S000002311,chrIV,182822,183187,1,121,,Dubious open reading frame,
YDL158C,YDL158C,S000002317,chrIV,173866,174174,-1,102,,Dubious open reading frame,
YDL159C-B,YDL159C-B,S000028612,chrIV,173056,173232,-1,58,,Putative protein of unknown function,
YDL159W-A,YDL159W-A,S000007599,chrIV,172182,172313,1,43,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDL162C,YDL162C,S000002321,chrIV,167359,167715,-1,118,,Dubious open reading frame,
YDL163W,YDL163W,S000002322,chrIV,166956,167258,1,100,,Dubious open reading frame,
YDL172C,YDL172C,S000002331,chrIV,148607,149086,-1,159,,Dubious open reading frame,
YDL177C,YDL177C,S000002336,chrIV,141209,141721,-1,170,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDL185C-A,YDL185C-A,S000007600,chrIV,126608,126835,-1,75,,Dubious open reading frame,
YDL186W,YDL186W,S000002345,chrIV,125616,126449,1,277,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDL187C,YDL187C,S000002346,chrIV,125509,125838,-1,109,,Dubious open reading frame,
YDL196W,YDL196W,S000002355,chrIV,106741,107070,1,109,,Dubious open reading frame,
YDL199C,YDL199C,S000002358,chrIV,101290,103353,-1,687,,Putative transporter,
YDL211C,YDL211C,S000002370,chrIV,79294,80412,-1,372,,Protein of unknown function,Protein whose biological role is unknown; localizes to the vacuole in a large-scale study
YDL218W,YDL218W,S000002377,chrIV,66493,67446,1,317,,Putative protein of unknown function,Predicted integral membrane protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study
YDL221W,YDL221W,S000002380,chrIV,62011,62562,1,183,,Dubious open reading frame,
YDL228C,YDL228C,S000002387,chrIV,45277,45918,-1,213,,Dubious open reading frame,
YDL240C-A,YDL240C-A,S000007601,chrIV,22471,22608,-1,45,,Dubious open reading frame,
YDL241W,YDL241W,S000002400,chrIV,20635,21006,1,123,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the endoplasmic reticulum
YDL242W,YDL242W,S000002401,chrIV,18959,19312,1,117,,Putative protein of unknown function,
YDL247W-A,YDL247W-A,S000007602,chrIV,3762,3836,1,24,,Dubious open reading frame,
YDR003W-A,YDR003W-A,S000028819,chrIV,454782,454904,1,40,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR008C,YDR008C,S000002415,chrIV,462252,462602,-1,116,,Dubious open reading frame,
YDR010C,YDR010C,S000002417,chrIV,465051,465383,-1,110,,Putative protein of unknown function,
YDR015C,YDR015C,S000002422,chrIV,477960,478199,-1,79,,Dubious open reading frame,
YDR018C,YDR018C,S000002425,chrIV,482670,483860,-1,396,,Probable membrane protein with three predicted transmembrane domains,Putative acyltransferase involved in phospholipid biosynthesis; localizes to nucleus and endoplasmic reticulum
YDR029W,YDR029W,S000002436,chrIV,501100,501414,1,104,,Putative protein of unknown function,
YDR034C-A,YDR034C-A,S000007233,chrIV,520516,520692,-1,58,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR034C-C,YDR034C-C,S000007344,chrIV,518040,519356,-1,438,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,
YDR034C-D,YDR034C-D,S000007345,chrIV,514043,519356,-1,1770,,Retrotransposon TYA Gag and TYB Pol genes,
YDR042C,YDR042C,S000002449,chrIV,540601,541203,-1,200,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR048C,YDR048C,S000002455,chrIV,553084,553398,-1,104,,Dubious open reading frame,
YDR053W,YDR053W,S000002460,chrIV,560249,560644,1,131,,Putative protein of unknown function,
YDR061W,YDR061W,S000002468,chrIV,574164,575783,1,539,,Protein with similarity to ABC transporter family members,Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study
YDR094W,YDR094W,S000002501,chrIV,635840,636175,1,111,,Dubious open reading frame,
YDR095C,YDR095C,S000002502,chrIV,636117,636527,-1,136,,Dubious open reading frame,
YDR098C-A,YDR098C-A,S000007390,chrIV,649804,651126,-1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,
YDR098C-B,YDR098C-B,S000007391,chrIV,645858,651126,-1,1755,,Retrotransposon TYA Gag and TYB Pol genes,
YDR102C,YDR102C,S000002509,chrIV,657648,657980,-1,110,,Putative protein of unknown function,
YDR109C,YDR109C,S000002516,chrIV,673520,675667,-1,715,,D-ribulokinase,A ribulose kinase involved in pentose metabolism
YDR114C,YDR114C,S000002521,chrIV,681924,682226,-1,100,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR118W-A,YDR118W-A,S000028820,chrIV,687768,687884,1,38,,Dubious open reading frame,
YDR124W,YDR124W,S000002531,chrIV,700315,701289,1,324,,Mitochondrial protein of unknown function,Protein whose biological role and cellular location are unknown
YDR131C,YDR131C,S000002538,chrIV,716790,718460,-1,556,,F-box protein subunit of SCF ubiquitin ligase complex,Subunit of SCF ubiquitin ligase complex involved in ubiquitin-dependent protein catabolism
YDR133C,YDR133C,S000002540,chrIV,720962,721297,-1,111,,Dubious open reading frame,
YDR149C,YDR149C,S000002556,chrIV,755555,756262,-1,235,,Dubious open reading frame,
YDR154C,YDR154C,S000002561,chrIV,768403,768753,-1,116,,Dubious open reading frame,
YDR157W,YDR157W,S000002564,chrIV,769931,770332,1,133,,Putative protein of unknown function,
YDR169C-A,YDR169C-A,S000028538,chrIV,794574,794723,-1,49,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR170W-A,YDR170W-A,S000007227,chrIV,803195,804517,1,440,,Retrotransposon TYA Gag gene,
YDR182W-A,YDR182W-A,S000028539,chrIV,829151,829354,1,67,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR183C-A,YDR183C-A,S000028540,chrIV,830397,830654,-1,85,,Dubious open reading frame unlikely to encode a functional protein,
YDR187C,YDR187C,S000002595,chrIV,836228,836746,-1,172,,Dubious open reading frame,
YDR193W,YDR193W,S000002601,chrIV,844554,844952,1,132,,Dubious open reading frame,
YDR194W-A,YDR194W-A,S000028541,chrIV,848071,848223,1,50,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR199W,YDR199W,S000002607,chrIV,854175,854540,1,121,,Dubious open reading frame,
YDR203W,YDR203W,S000002611,chrIV,857682,857999,1,105,,Dubious open reading frame,
YDR209C,YDR209C,S000002617,chrIV,871036,871449,-1,137,,Putative protein of unknown function,
YDR210C-C,YDR210C-C,S000007409,chrIV,882605,883927,-1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,
YDR210C-D,YDR210C-D,S000007410,chrIV,878659,883927,-1,1755,,Retrotransposon TYA Gag and TYB Pol genes,
YDR210W-A,YDR210W-A,S000007392,chrIV,872112,873428,1,438,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,
YDR210W-B,YDR210W-B,S000007393,chrIV,872112,877425,1,1770,,Retrotransposon TYA Gag and TYB Pol genes,
YDR215C,YDR215C,S000002623,chrIV,894089,894502,-1,137,,Putative protein of unknown function,
YDR220C,YDR220C,S000002628,chrIV,907000,907293,-1,97,,Dubious open reading frame,
YDR222W,YDR222W,S000002630,chrIV,910054,911301,1,415,,Protein of unknown function,Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study
YDR230W,YDR230W,S000002638,chrIV,926223,926570,1,115,,Dubious open reading frame,
YDR239C,YDR239C,S000002647,chrIV,941057,943420,-1,787,,Protein of unknown function,Protein whose biological role is unknown; localizes to cytoplasm and colocalizes to ribosome in different large-scale studies
YDR246W-A,YDR246W-A,S000028542,chrIV,955133,955333,1,66,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR248C,YDR248C,S000002656,chrIV,957758,958339,-1,193,,Putative gluconokinase,Gluconokinase that localizes to the cytoplasm
YDR249C,YDR249C,S000002657,chrIV,958681,959802,-1,373,,Putative protein of unknown function,Protein whose biological role and cellular location are unknown
YDR250C,YDR250C,S000002658,chrIV,960086,960361,-1,91,,Dubious open reading frame,
YDR261C-C,YDR261C-C,S000007394,chrIV,991027,992349,-1,440,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,
YDR261C-D,YDR261C-D,S000007395,chrIV,987534,992349,-1,1604,,Retrotransposon TYA Gag and TYB Pol genes,
YDR261W-A,YDR261W-A,S000007396,chrIV,981462,982778,1,438,,Retrotransposon TYA Gag gene co-transcribed with TYB Pol,
YDR261W-B,YDR261W-B,S000007397,chrIV,981462,986775,1,1770,,Retrotransposon TYA Gag and TYB Pol genes,
YDR262W,YDR262W,S000002670,chrIV,993134,993952,1,272,,Putative protein of unknown function,Protein whose biological role is unknown; localizes to the vacuole in a large-scale study
